User_ID,Age,Gender,Height_cm,Initial_Weight_kg,Initial_BMI,BMI_Category_x,Body_Fat_Category,Body_Fat_Percentage_x,Goal,Workout_Frequency,Average_Duration_Minutes,level,Badminton,Football,Basketball,Volleyball,Swim,Week,Weight_kg,BMI,Body_Fat_Percentage_y,Daily_Calories,Daily_Water_ml,Target_Protein_g,Target_Carbs_g,Target_Fat_g,Limit_Sugar_g,Target_Fiber_g,Limit_Cholesterol_mg,Target_Calcium_mg,Meal_Frequency,BMI_Category_y
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,0,113.0,32.31,37.0,2643,4405,264,198,88,66,37,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,1,111.8,31.97,36.4,2643,4405,264,198,88,66,37,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,2,110.66,31.64,35.9,2643,4405,264,198,88,66,37,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,3,109.77,31.39,35.5,2643,4405,264,198,88,66,37,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,4,109.11,31.2,35.1,2582,4269,258,193,86,64,36,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,5,108.39,31.0,34.3,2582,4269,258,193,86,64,36,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,6,107.65,30.78,33.6,2582,4269,258,193,86,64,36,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,7,106.37,30.42,33.3,2582,4269,258,193,86,64,36,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,8,105.39,30.14,32.6,2525,4138,252,189,84,63,35,300,1000,5,Obese
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,9,104.36,29.84,31.9,2525,4138,252,189,84,63,35,300,1000,5,Overweight
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,10,104.21,29.8,31.6,2525,4138,252,189,84,63,35,300,1000,5,Overweight
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,11,103.74,29.67,30.8,2525,4138,252,189,84,63,35,300,1000,5,Overweight
1,22,Female,187,113,32.31,Obese,5.0,37.0,Weight Loss,4,45,Intermediate,0,0,0,1,0,12,102.9,29.43,30.2,2486,4051,248,186,82,62,34,300,1000,5,Overweight
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,0,101.0,33.36,40.4,2269,3985,226,170,75,56,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,1,100.47,33.19,40.0,2269,3985,226,170,75,56,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,2,99.24,32.78,39.5,2269,3985,226,170,75,56,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,3,98.58,32.56,38.7,2269,3985,226,170,75,56,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,4,97.83,32.31,38.2,2219,3874,221,166,73,55,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,5,96.44,31.85,37.6,2219,3874,221,166,73,55,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,6,96.02,31.72,37.2,2219,3874,221,166,73,55,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,7,95.49,31.54,36.8,2219,3874,221,166,73,55,31,300,1000,5,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,8,94.11,31.08,36.4,2162,3743,216,162,72,54,30,300,1000,4,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,9,93.69,30.94,35.7,2162,3743,216,162,72,54,30,300,1000,4,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,10,93.31,30.82,35.1,2162,3743,216,162,72,54,30,300,1000,4,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,11,92.91,30.69,34.4,2162,3743,216,162,72,54,30,300,1000,4,Obese
2,30,Female,174,101,33.36,Obese,5.0,40.4,Weight Loss,5,45,Advanced,1,0,0,0,1,12,92.0,30.39,33.7,2129,3669,212,159,70,53,29,300,1000,4,Obese
3,45,Male,186,80,23.12,Normal,3.0,20.4,Maintain,2,60,Intermediate,0,1,1,0,1,0,80.0,23.12,20.4,2395,3400,179,239,79,59,33,300,1000,5,Normal
